Activity,Location(s),Region,Required Keywords,Coin per Reward Roll,Coin per Chest Roll,Has Bird Nests,Has Gem Table,Is Underwater,Skill1,S1 Min,Skill2,S2 Min,Skill3,S3 Min,Skill4,S4 Min,Available,Base XP (S1),Base XP (S2),Base XP (S3),Base XP (S4),Base Gem Drop Rate,Has Gem Bag,Base Tokens/ Action,Base Steps,Max Gear Eff,"""Min"" Steps",Current Steps,XP/Step (S1),XP/Step (S2),XP/Step (S3),XP/Step (S4),Total XP/Step,Steps/Level (S1),Steps/Level (S2),Steps/Level (S3),Steps/Level (S4),Effective Steps/Level,Steps/Chest (each skill),S1 Steps/New Chest Item,S2 Steps/New Chest Item,S3 Steps/New Chest Item,Steps/Adventure Chest Item,Steps/Activity Item,Steps/ Collectible,Steps/New Item,Activity Item,Collectible,Steps/ Progress,Coin/1k Steps,Steps/ Token,Steps/ Gem,NameCopy,Steps/Trinket
Surface Copper Mining,,Jarvonia,pickaxe,0,0,FALSE,TRUE,FALSE,Mining,1,,,,,,,TRUE,12,,,,0.01,FALSE,0,55,24,37,44,0.273,-,-,-,0.273,"38,911",-,-,-,"38,911","11,000","14,937",-,-,-,-,-,"14,937",-,-,"10,793",20.91,-,"4,400",Surface Copper Mining,-
Surface Salt Mining,Beach of Woes,Jarvonia,pickaxe,1.360485,86.06,FALSE,FALSE,FALSE,Mining,1,,,,,,,TRUE,12,,,,,FALSE,0,55,24,37,44,0.273,-,-,-,0.273,"38,911",-,-,-,"38,911","11,000","14,937",-,-,-,-,-,"14,937",-,-,"10,793",38.78,-,-,Surface Salt Mining,-
Surface Tin Mining,,Jarvonia,pickaxe,0,0,FALSE,TRUE,FALSE,Mining,10,,,,,,,TRUE,22,,,,0.01,FALSE,0,70,35,44,56,0.393,-,-,-,0.393,"27,012",-,-,-,"27,012","14,000","19,010",-,-,-,-,-,"19,010",-,-,"11,158",16.43,-,"5,600",Surface Tin Mining,-
Surface Swimming,Farsand Coast,GDTE,,0.08411,134.192,FALSE,FALSE,FALSE,Agility,20,,,,,,,TRUE,32,,,,,FALSE,0,56,50,32,45,0.711,-,-,-,0.711,"14,923",-,-,-,"14,923","11,250","15,276",-,-,-,"14,901",-,"7,543",Simple Life Vest,-,"5,010",13.90,-,-,Surface Swimming,"44,554.46"
Summer Cave Foraging,Bog Top,"GDTE,Swamp",lightSource,11.6549,76.91274,FALSE,FALSE,FALSE,Foraging,50,,,,,,,TRUE,400,,,,,FALSE,0,400,100,200,400,1.000,-,-,-,1.000,"10,612",-,-,-,"10,612","100,000","135,787",-,-,-,-,-,"135,787",-,-,"9,843",29.91,-,-,Summer Cave Foraging,"440,722.79"
Swamp Foraging,,"GDTE,Swamp",lightSource,0,0,FALSE,FALSE,FALSE,Foraging,45,,,,,,,TRUE,200,,,,,FALSE,0,200,94,100,189,1.058,-,-,-,1.058,"10,028",-,-,-,"10,028","47,250","64,159",-,-,-,-,-,"64,159",-,-,"8,673",31.82,-,-,Swamp Foraging,"208,241.52"
Tinkering,Barbantok,Jarvonia,craftingTool,0.59025,196.16,FALSE,FALSE,FALSE,Crafting,25,,,,,,,TRUE,30,,,,,FALSE,0,92,85,44,74,0.405,-,-,-,0.405,"26,176",-,-,-,"26,176","18,500","25,121",-,-,-,"74,000","74,000","14,962",Wire Saw,Silver Pocket Watch,"9,520",18.86,-,-,Tinkering,-
Treasure Hunt,Horn of Respite,Jarvonia,,0,73.096,FALSE,FALSE,FALSE,Foraging,20,Agility,,Fishing,,Woodcutting,,TRUE,10,10,10,10,,FALSE,0.06,100,-5,84,84,0.119,0.119,0.119,0.119,0.476,"89,141","89,141","89,141","89,141","22,285","21,000","28,515",-,-,"84,861",-,"10,000","6,810",-,Artificial Snowflake,"5,216",3.66,"1,346",-,Treasure Hunt,"532,994.92"
Underwater Aqueduct Construction,Bog Bottom,"GDTE,Swamp","carpentryTool,lightSource",0,158.34702,FALSE,TRUE,TRUE,Carpentry,40,Agility,40,,,,,TRUE,70,70,,,0.01,FALSE,0,150,78,79,134,0.522,0.522,-,-,1.045,"20,314","20,314",-,-,"10,157","33,500","45,489","45,489",-,-,-,-,"22,744",-,-,"7,022",9.37,-,"13,400",Underwater Aqueduct Construction,-
Underwater Aqueduct Digging,Bog Bottom,"GDTE,Swamp","pickaxe,lightSource",3.99996,86.13502,FALSE,TRUE,TRUE,Mining,40,,,,,,,TRUE,90,,,,0.01,FALSE,0,100,77,53,89,1.011,-,-,-,1.011,"10,494",-,-,-,"10,494","22,250","30,213",-,-,-,"988,889",-,"29,317",Ring of Pandemonium,-,"7,728",55.65,-,"8,900",Underwater Aqueduct Digging,-
Underwater Basket Weaving,,Syrenthia,,0,533.976,FALSE,FALSE,TRUE,Crafting,40,,,,,,,TRUE,180,,,,,TRUE,0,300,68,167,267,0.674,-,-,-,0.674,"15,741",-,-,-,"15,741","66,750","90,638",-,-,-,"96,043",-,"46,631",Flatpack Shark (Underwater),-,"11,768",6.46,-,"16,688",Underwater Basket Weaving,-
Underwater Swimming,,Syrenthia,,3.52495,228.108,FALSE,FALSE,TRUE,Agility,50,,,,,,,TRUE,155,,,,,FALSE,0,150,109,72,150,1.033,-,-,-,1.033,"10,270",-,-,-,"10,270","37,500","50,920",-,-,-,"40,323",-,"22,503",Flippers (Underwater),-,"7,052",27.71,-,-,Underwater Swimming,"48,543.69"
Vegetable Chopping,Kallaheim,Jarvonia,,1.66666666,67.452,FALSE,FALSE,FALSE,Cooking,1,,,,,,,TRUE,30,,,,,FALSE,0,300,75,150,240,0.125,-,-,-,0.125,"84,896",-,-,-,"84,896","60,000","81,472",-,-,-,-,-,"81,472",-,-,"41,574",8.10,-,-,Vegetable Chopping,-
Wine Grape Stomping,Granfiddich,GDTE,,3.25582,302.504,FALSE,FALSE,FALSE,Cooking,45,Agility,30,,,,,TRUE,112,28,,,,TRUE,0,143,114,65,135,0.830,0.207,-,-,1.037,"12,791","51,165",-,-,"10,233","33,750","45,828","45,828",-,-,"287,234","270,000","19,675",Eberhart Corkscrew,99-Year-Old Wine,"6,732",32.15,-,"8,438",Wine Grape Stomping,"201,492.54"
Wood Carving,Barbantok,Jarvonia,carpentryTool,0.0084,95.028,FALSE,FALSE,FALSE,Carpentry,10,,,,,,,TRUE,14,,,,,FALSE,0,53,23,36,43,0.326,-,-,-,0.326,"32,594",-,-,-,"32,594","10,750","14,597",-,-,-,"36,134","43,000","8,373",Carving Knife,Wooden Carved Bear Figurine,"6,661",9.37,-,-,Wood Carving,-
Wreck Diving,,Syrenthia,,55.0438,575.104,FALSE,FALSE,TRUE,Foraging,35,Agility,35,,,,,TRUE,700,100,,,,TRUE,0,1000,62,556,843,0.830,0.119,-,-,0.949,"12,780","89,459",-,-,"11,182","210,750","286,171","286,171",-,-,"376,339","168,600","64,196",Pirate Hat,Dinglehopper,"9,523",67.54,-,"52,688",Wreck Diving,"5,348,984.77"
Ectoplasm Fishing,,,fishingTool,,,,,FALSE,Fishing,55,,,,,,,,104,,,,,FALSE,0,149,,67,,,,,,,,,,,,,,,,,,,,,,,,,,Ectoplasm Fishing,
